1,HTML Crash Course For Absolute Beginners, 1:00:42,https://www.youtube.com/watch?v=UB1O30fR-EE
2,CSS Crash Course For Absolute Beginners, 1:25:11,https://www.youtube.com/watch?v=yfoY53QXEnI
3,Build An HTML5 Website With A Responsive Layout, 1:01:15,https://www.youtube.com/watch?v=Wm6CUkswsNw
4,Flexbox CSS In 20 Minutes, 19:59,https://www.youtube.com/watch?v=JJSoEo8JSnc
5,CSS Grid Layout Crash Course, 27:55,https://www.youtube.com/watch?v=jV8B24rSN5o
6,Build a Netflix Landing Page Clone with HTML CSS & JS, 1:32:19,https://www.youtube.com/watch?v=P7t13SGytRk
7,Microsoft Homepage Clone - CSS Grid Flex & Media Queries, 1:10:59,https://www.youtube.com/watch?v=uKgn-To1C4Q
8,Responsive Landing Page Using HTML & CSS (A Little jQuery), 1:04:07,https://www.youtube.com/watch?v=GJXXf3_dcng
9,Pluralsight Login Page Clone - HTML & CSS, 42:35,https://www.youtube.com/watch?v=wIx1O5Y5EB4
10,HTML & CSS Easy Elegant Landing Page With Blur Effect, 34:43,https://www.youtube.com/watch?v=HZv8YHYUHTU
11,Build a Responsive Mobile First Website - HTML5 & CSS3, 48:23,https://www.youtube.com/watch?v=XsEnj-1hG2o
12,Easy Fullscreen Landing Page With HTML & CSS, 22:38,https://www.youtube.com/watch?v=hVdTQWASliE
13,CSS Grid Layout With Image Span, 13:38,https://www.youtube.com/watch?v=-qOe8lBAChE
14,Sliding Sign In & Sign Up Form, 32:14,https://www.youtube.com/watch?v=mUdo6w87rh4
15,CSS Variables Tutorial (CSS Custom Properties), 23:06,https://www.youtube.com/watch?v=sQUB039MG0I
16,Pure CSS Hamburger Menu & Overlay, 35:47,https://www.youtube.com/watch?v=DZg6UfS5zYg
17,Full Screen Video Background - HTML & CSS, 17:52,https://www.youtube.com/watch?v=Gx_7GQtSdpc
18,Basic Parallax Website With HTML & CSS, 20:48,https://www.youtube.com/watch?v=JttTcnidSdQ
19,Bootstrap Beginner Crash Course, 1:13:27,https://www.youtube.com/watch?v=5GcQtLDGXy8
20,Build A CMS Admin Bootstrap Theme From Scratch, 1:00:47,https://www.youtube.com/watch?v=pXbEcGUtHgo
21,CSS Text Background Animation, 11:15,https://www.youtube.com/watch?v=lX5LZTWc4f8
22,Easy Responsive CSS3 Pricing Tables, 17:21,https://www.youtube.com/watch?v=7rJ5rhdVvOo
23,Responsive HTML & CSS Side Menu From Scratch, 23:57,https://www.youtube.com/watch?v=wpGNFGqNfdU
24,Quick & Easy CSS Loaders, 28:18,https://www.youtube.com/watch?v=BwhTKJFpKSw
25,Fullscreen Video Background With HTML & CSS, 23:37,https://www.youtube.com/watch?v=Xy3GlrddZFI
26,Simple Explanation Of rem & em CSS Units, 14:43,https://www.youtube.com/watch?v=H4UtKu11yXg
27,Create a Presentation Slide Website, 32:24,https://www.youtube.com/watch?v=uE1m21Umn0s
28,Mobile First Responsive Contact Form Featuring Grid CSS, 29:42,https://www.youtube.com/watch?v=Sb5qOa3R4hY
29,Parallax Landing Page - Rellax.js, 22:33,https://www.youtube.com/watch?v=aAxt0Z7IXIo
30,Landing Page With Smooth Scroll - 3 Options, 22:43,https://www.youtube.com/watch?v=y9nlfqT4s9s
31,Animate On Scroll Webpage | AOS Library, 21:25,https://www.youtube.com/watch?v=ptfUwPJbGlQ
32,Build a Bootstrap Theme With Scroll Animation, 35:45,https://www.youtube.com/watch?v=ePgnR4gHIi4
33,Skeleton CSS Crash Course & Landing Page, 38:37,https://www.youtube.com/watch?v=nVANwdryGVc
34,Materialize CSS Crash Course [Part 1], 56:08,https://www.youtube.com/watch?v=nqT8c5OFjEQ
35,Materialize CSS Crash Course [Part 2] - JavaScript Widgets, 40:09,https://www.youtube.com/watch?v=ZpduVPHZ5Aw
36,Build A Travel Agency Theme With Materialize CSS 1.0.0, 54:29,https://www.youtube.com/watch?v=MaP3vO-vEsg
37,Bulma CSS Framework Crash Course, 49:41,https://www.youtube.com/watch?v=IiPQYQT2-wg
38,Social Media Accordion With CSS3 Transitions, 37:44,https://www.youtube.com/watch?v=4M6qPoFWIxI
39,Build A Responsive HTML & CSS Template With FlexboxGrid, 1:12:06,https://www.youtube.com/watch?v=qlA7dputiNc
40,Foundation Framework Crash Course, 1:13:00,https://www.youtube.com/watch?v=DEu5xYEZx18
41,Custom Bootstrap Theme With Sass, 1:04:19,https://www.youtube.com/watch?v=pB7EwxwSfVk
42,Fancy Form UI From Scratch - HTML CSS3 JS & Sass, 1:10:23,https://www.youtube.com/watch?v=AiTdhLc8JCo
43,Create a Responsive Website With the W3 CSS Framework, 47:34,https://www.youtube.com/watch?v=PJHBKwbf4Us
44,CSS3 Animation & Transitions Crash Course, 36:20,https://www.youtube.com/watch?v=zHUpx90NerM
45,"Grid CSS Responsive Website Layout - ""Mobile First"" Design", 49:09,https://www.youtube.com/watch?v=M3qBpPw77qo
46,Full Screen Responsive Image Slider | No Libraries, 31:55,https://www.youtube.com/watch?v=wWWNrANNO1k
47,Create a Split Landing Page With HTML CSS & JS, 34:13,https://www.youtube.com/watch?v=oRmQN244Ir0
48,Build a Responsive Grid CSS Website Layout From Scratch, 45:33,https://www.youtube.com/watch?v=moBhzSC455o
49,Product Landing Page | Build & Deploy | HTML & CSS, 1:01:21,https://www.youtube.com/watch?v=61R5kn_kYwY
50,Sass Crash Course, 48:05,https://www.youtube.com/watch?v=nu5mdN2JIwM
51,Build a Portfolio Website & Deploy, 2:00:45,https://www.youtube.com/watch?v=r_hYR53r61M
52,Build a Modern Landing Page Website | HTML & CSS, 1:15:26,https://www.youtube.com/watch?v=X1dz0xRbSJc
53,Build a Responsive Website | HTML CSS Grid Flexbox & More, 2:02:22,https://www.youtube.com/watch?v=p0bGHP-PXD4
54,Create a Website With Video Background | HTML & CSS, 35:15,https://www.youtube.com/watch?v=8MgpE2DTTKA
55,Creative Agency Website From Scratch | HTML & CSS, 1:26:51,https://www.youtube.com/watch?v=lvYnfMOUOJY
56,Build a Music Player | Vanilla JavaScript, 44:06,https://www.youtube.com/watch?v=QTHRWGn_sJw
57,Bootstrap 5 Crash Course | Website Build & Deploy, 1:18:48,https://www.youtube.com/watch?v=4sosXZsdy-s
58,Hulu Webpage Clone | HTML & CSS, 1:30:57,https://www.youtube.com/watch?v=9OVLaEjY-Rc
59,Build a Starbucks Landing Page Clone, 1:19:23,https://www.youtube.com/watch?v=x_n2FGNsm0o